Fracture Date,Year,UWI,Well Area Name,Latitude_dd,Longitude_dd,Total Water Volume (m^3)
2025-09-03,2025,200C052H094G0800,LAPRISE CREEK,57.36023888888889,-121.98244444444444,26301.72
2025-09-03,2025,200C009D094A1300,BLUEBERRY,56.74249722222223,-121.96606111111112,20168.1
2025-09-03,2025,200A061H094G0800,LAPRISE CREEK,57.360369444444444,-121.98201666666667,26399.74
2025-09-03,2025,203D052H094G0800,LAPRISE CREEK,57.360283333333335,-121.98230277777778,25061.98
2025-09-03,2025,200B075L094A1200,BLUEBERRY,56.742625000000004,-121.96583333333334,25228.9
2025-09-03,2025,200C099L094A1200,BLUEBERRY,56.742561111111115,-121.96594722222223,17556.4
2025-09-02,2025,200B061H094G0800,LAPRISE CREEK,57.360327777777776,-121.98215833333333,25085.69
2025-09-01,2025,102011608824W600,INGA NORTH,56.65770555555555,-121.77833055555556,44904.48
2025-08-31,2025,104041508824W600,INGA NORTH,56.65811111111111,-121.77849444444445,55376.06
2025-08-31,2025,100011608824W600,INGA NORTH,56.65770555555555,-121.77816944444444,26362.33
2025-08-28,2025,102041508824W600,INGA NORTH,56.65811111111111,-121.77816666666666,61490.36
2025-08-28,2025,103041508824W600,INGA NORTH,56.65811111111111,-121.77833055555556,48287.09
2025-08-27,2025,100041508824W600,INGA NORTH,56.65811111111111,-121.77800555555555,50230.48
2025-08-27,2025,102031508824W600,INGA NORTH,56.65811111111111,-121.77784166666666,59635.82
2025-08-25,2025,202C001H094B0800,ALTARES,56.33125555555556,-121.97620833333333,15939.88
2025-08-25,2025,202B011H094B0800,ALTARES,56.33131666666667,-121.97614166666666,17979.71
2025-08-25,2025,206C011H094B0800,ALTARES,56.33175000000001,-121.97567777777778,20480.97
2025-08-25,2025,204B011H094B0800,ALTARES,56.33144166666667,-121.97600833333334,16266.33
2025-08-25,2025,203B011H094B0800,ALTARES,56.33137777777778,-121.97607500000001,15279.77
2025-08-25,2025,204C011H094B0800,ALTARES,56.331563888888894,-121.975875,16610.95
2025-08-25,2025,202D012H094B0800,ALTARES,56.331625,-121.97580833333333,17511.51
2025-08-25,2025,205C011H094B0800,ALTARES,56.33168888888889,-121.97574444444444,23741.7
2025-08-15,2025,100020608222W600,MONIAS,56.05439722222222,-121.37834722222222,23497.77
2025-08-15,2025,102020608222W600,MONIAS,56.05444166666666,-121.37834722222222,27475.72
2025-08-15,2025,100152808122W600,MONIAS,56.04550555555555,-121.37872499999999,27374.38
2025-08-15,2025,100010608222W600,MONIAS,56.05453055555555,-121.37834722222222,24941.29
2025-08-13,2025,203D050J094B1600,TOWN,56.97366388888889,-122.27975833333333,22871.9
2025-08-12,2025,202C050J094B1600,TOWN,56.973619444444445,-122.2799,19942.6
2025-08-12,2025,200A041K094B1600,TOWN,56.97355,-122.28011111111111,19371.1
2025-08-12,2025,202C051K094B1600,TOWN,56.973641666666666,-122.27982777777778,10502.3
2025-08-09,2025,202A041K094B1600,TOWN,56.973594444444444,-122.27996944444445,12646.3
2025-08-08,2025,100013407914W600,DOE,55.88415555555555,-120.08969166666667,46.89
2025-08-07,2025,100100508116W600,PARKLAND,55.99608611111111,-120.46026111111111,534.19
2025-08-04,2025,206B093H094B0900,TOWN,56.635133333333336,-122.02613333333333,12704.0
2025-08-04,2025,202A094H094B0900,TOWN,56.63551111111111,-122.02636111111111,16928.95
2025-08-04,2025,204B094H094B0900,TOWN,56.635425,-122.02631111111111,20008.77
2025-08-02,2025,205A094H094B0900,TOWN,56.63505,-122.02608333333333,24752.75
2025-07-31,2025,203B094H094B0900,TOWN,56.635469444444446,-122.0263361111111,24057.95
2025-07-28,2025,100150608822W600,INGA,56.64244166666666,-121.51375555555556,48297.6
2025-07-27,2025,100010708822W600,INGA,56.64244722222222,-121.51343055555556,47870.02
2025-07-27,2025,102010708822W600,INGA,56.64244444444444,-121.51359444444445,48044.2
2025-07-27,2025,100012408823W600,INGA,56.64243888888889,-121.51391944444444,31132.59
2025-07-27,2025,205B093H094B0900,TOWN,56.635216666666665,-122.02618333333334,26906.92
2025-07-27,2025,204B093H094B0900,TOWN,56.63534166666667,-122.02626111111111,26400.61
2025-07-27,2025,205B094H094B0900,TOWN,56.6353,-122.0262361111111,28891.36
2025-07-25,2025,103121408016W600,SUNRISE,55.936344444444444,-120.37268333333333,12046.3
2025-07-23,2025,100131008016W600,SUNRISE,55.93612222222222,-120.37268333333333,22223.7
2025-07-22,2025,102131408016W600,SUNRISE,55.936388888888885,-120.37268333333333,17974.4
2025-07-18,2025,100041508016W600,SUNRISE,55.936211111111106,-120.37268333333333,9142.0
2025-07-17,2025,207B093H094B0900,TOWN,56.63509166666667,-122.02610833333333,23473.82
2025-07-17,2025,200C083H094B0900,TOWN,56.635175,-122.02615833333333,21418.94
2025-07-17,2025,204A094H094B0900,TOWN,56.63525833333333,-122.02620833333333,21580.07
2025-07-17,2025,203A094H094B0900,TOWN,56.63538333333333,-122.0262861111111,24014.46
2025-07-17,2025,100051508016W600,SUNRISE,55.936299999999996,-120.37268333333333,11767.1
2025-07-14,2025,102051508016W600,SUNRISE,55.936255555555555,-120.37268333333333,6189.9
2025-07-14,2025,100042308016W600,SUNRISE,55.93643333333333,-120.37268333333333,20736.5
2025-07-09,2025,102041508016W600,SUNRISE,55.936166666666665,-120.37268333333333,16139.1
2025-07-06,2025,102092308222W600,MONIAS,56.109425,-121.26483333333333,27300.03
2025-07-06,2025,100091808221W600,MONIAS,56.10951111111111,-121.26478888888889,26761.26
2025-07-06,2025,103092308222W600,MONIAS,56.10946944444444,-121.26481111111111,25274.27
2025-06-30,2025,202D030L094A1300,TOWN,56.89653055555556,-121.9515138888889,42205.5
